nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

WARNING (theano.gof.compilelock): Overriding existing lock by dead process '62925' (I am process '63143')
Using gpu device 3: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
model = lstm lambda = 0.0 last = True share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
10/250  Test Acc = 0.330000
20/250  Test Acc = 0.430000
30/250  Test Acc = 0.310000
40/250  Test Acc = 0.350000
50/250  Test Acc = 0.460000
60/250  Test Acc = 0.240000
70/250  Test Acc = 0.390000
80/250  Test Acc = 0.380000
90/250  Test Acc = 0.470000
100/250  Test Acc = 0.250000
110/250  Test Acc = 0.410000
120/250  Test Acc = 0.300000
130/250  Test Acc = 0.480000
140/250  Test Acc = 0.390000
150/250  Test Acc = 0.370000
160/250  Test Acc = 0.430000
170/250  Test Acc = 0.360000
180/250  Test Acc = 0.390000
190/250  Test Acc = 0.280000
200/250  Test Acc = 0.340000
210/250  Test Acc = 0.430000
220/250  Test Acc = 0.220000
230/250  Test Acc = 0.460000
240/250  Test Acc = 0.370000
250/250  Test Acc = 0.360000
	Test cost = 1.570175,	Accuracy = 0.400600
Epoch = 7
10/250  Train Acc = 0.510000
20/250  Train Acc = 0.460000
30/250  Train Acc = 0.430000
40/250  Train Acc = 0.370000
50/250  Train Acc = 0.470000
60/250  Train Acc = 0.350000
70/250  Train Acc = 0.330000
80/250  Train Acc = 0.440000
90/250  Train Acc = 0.250000
100/250  Train Acc = 0.460000
110/250  Train Acc = 0.360000
120/250  Train Acc = 0.420000
130/250  Train Acc = 0.390000
140/250  Train Acc = 0.430000
150/250  Train Acc = 0.480000
160/250  Train Acc = 0.240000
170/250  Train Acc = 0.430000
180/250  Train Acc = 0.280000
190/250  Train Acc = 0.320000
200/250  Train Acc = 0.250000
210/250  Train Acc = 0.390000
220/250  Train Acc = 0.430000
230/250  Train Acc = 0.320000
240/250  Train Acc = 0.510000
250/250  Train Acc = 0.500000
	Train cost = 1.556657,	Accuracy = 0.416680
10/250  Test Acc = 0.300000
20/250  Test Acc = 0.400000
30/250  Test Acc = 0.290000
40/250  Test Acc = 0.360000
50/250  Test Acc = 0.370000
60/250  Test Acc = 0.220000
70/250  Test Acc = 0.330000
80/250  Test Acc = 0.400000
90/250  Test Acc = 0.440000
100/250  Test Acc = 0.270000
110/250  Test Acc = 0.390000
120/250  Test Acc = 0.270000
130/250  Test Acc = 0.400000
140/250  Test Acc = 0.370000
150/250  Test Acc = 0.280000
160/250  Test Acc = 0.420000
170/250  Test Acc = 0.380000
180/250  Test Acc = 0.350000
190/250  Test Acc = 0.270000
200/250  Test Acc = 0.320000
210/250  Test Acc = 0.380000
220/250  Test Acc = 0.270000
230/250  Test Acc = 0.470000
240/250  Test Acc = 0.380000
250/250  Test Acc = 0.360000
	Test cost = 1.604618,	Accuracy = 0.387560
Epoch = 8
10/250  Train Acc = 0.490000
20/250  Train Acc = 0.470000
30/250  Train Acc = 0.410000
40/250  Train Acc = 0.380000
50/250  Train Acc = 0.550000
60/250  Train Acc = 0.380000
70/250  Train Acc = 0.400000
80/250  Train Acc = 0.450000
90/250  Train Acc = 0.270000
100/250  Train Acc = 0.500000
