nohup: ignoring input
Couldn't import dot_parser, loading of dot files will not be possible.
WARNING (theano.sandbox.cuda): The cuda backend is deprecated and will be removed in the next release.  Please switch to the gpuarray backend. You can get more information about how to switch at this URL:
 https://github.com/Theano/Theano/wiki/Converting-to-the-new-gpu-back-end%28gpuarray%29

Using gpu device 1: GeForce GTX TITAN X (CNMeM is disabled, cuDNN 5103)
(93430, 300) (25000, 1100) (25000, 1085)
dec = True model = ours + lstm lambda = 0.0 share = False #class = 8 drop = 0.0 update = adam2
Compiling function
Compilation done 1
Compilation done 2
Epoch = 1
200/250  Train Acc = 0.470000
210/250  Train Acc = 0.550000
220/250  Train Acc = 0.520000
230/250  Train Acc = 0.610000
240/250  Train Acc = 0.580000
250/250  Train Acc = 0.490000
	Train cost = 1.186897,	Accuracy = 0.526880
10/250  Test Acc = 0.380000
20/250  Test Acc = 0.520000
30/250  Test Acc = 0.470000
40/250  Test Acc = 0.450000
50/250  Test Acc = 0.480000
60/250  Test Acc = 0.560000
70/250  Test Acc = 0.340000
80/250  Test Acc = 0.490000
90/250  Test Acc = 0.470000
100/250  Test Acc = 0.470000
110/250  Test Acc = 0.460000
120/250  Test Acc = 0.390000
130/250  Test Acc = 0.280000
140/250  Test Acc = 0.400000
150/250  Test Acc = 0.430000
160/250  Test Acc = 0.460000
170/250  Test Acc = 0.390000
180/250  Test Acc = 0.510000
190/250  Test Acc = 0.600000
200/250  Test Acc = 0.560000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.440000
230/250  Test Acc = 0.520000
240/250  Test Acc = 0.450000
250/250  Test Acc = 0.450000
	Test cost = 1.478281,	Accuracy = 0.444160
Epoch = 8
10/250  Train Acc = 0.530000
20/250  Train Acc = 0.550000
30/250  Train Acc = 0.610000
40/250  Train Acc = 0.530000
50/250  Train Acc = 0.550000
60/250  Train Acc = 0.540000
70/250  Train Acc = 0.510000
80/250  Train Acc = 0.530000
90/250  Train Acc = 0.560000
100/250  Train Acc = 0.480000
110/250  Train Acc = 0.610000
120/250  Train Acc = 0.540000
130/250  Train Acc = 0.460000
140/250  Train Acc = 0.630000
150/250  Train Acc = 0.550000
160/250  Train Acc = 0.600000
170/250  Train Acc = 0.550000
180/250  Train Acc = 0.650000
190/250  Train Acc = 0.640000
200/250  Train Acc = 0.520000
210/250  Train Acc = 0.560000
220/250  Train Acc = 0.540000
230/250  Train Acc = 0.610000
240/250  Train Acc = 0.590000
250/250  Train Acc = 0.500000
	Train cost = 1.132678,	Accuracy = 0.547240
10/250  Test Acc = 0.390000
20/250  Test Acc = 0.550000
30/250  Test Acc = 0.460000
40/250  Test Acc = 0.440000
50/250  Test Acc = 0.450000
60/250  Test Acc = 0.560000
70/250  Test Acc = 0.350000
80/250  Test Acc = 0.530000
90/250  Test Acc = 0.470000
100/250  Test Acc = 0.500000
110/250  Test Acc = 0.470000
120/250  Test Acc = 0.380000
130/250  Test Acc = 0.290000
140/250  Test Acc = 0.400000
150/250  Test Acc = 0.420000
160/250  Test Acc = 0.470000
170/250  Test Acc = 0.370000
180/250  Test Acc = 0.520000
190/250  Test Acc = 0.620000
200/250  Test Acc = 0.580000
210/250  Test Acc = 0.390000
220/250  Test Acc = 0.460000
230/250  Test Acc = 0.530000
240/250  Test Acc = 0.420000
250/250  Test Acc = 0.470000
	Test cost = 1.526843,	Accuracy = 0.437960
Epoch = 9
10/250  Train Acc = 0.570000
20/250  Train Acc = 0.540000
30/250  Train Acc = 0.600000
40/250  Train Acc = 0.530000
50/250  Train Acc = 0.580000
60/250  Train Acc = 0.550000
70/250  Train Acc = 0.540000
80/250  Train Acc = 0.630000
90/250  Train Acc = 0.570000
100/250  Train Acc = 0.560000
110/250  Train Acc = 0.590000
120/250  Train Acc = 0.600000
130/250  Train Acc = 0.490000
140/250  Train Acc = 0.660000
150/250  Train Acc = 0.520000
160/250  Train Acc = 0.580000
170/250  Train Acc = 0.560000
